key|type|title|parent|phase|milestone|area|priority|risk|target|effort
EPIC-00|Epic|EPIC-00 Repo, project management, CI/CD foundation||0|M0 Bootstrap|Repo|P0|Medium|Prototype|XL
F00-01|Feature|FEATURE: Create public repo and baseline docs|EPIC-00|0|M0 Bootstrap|Repo|P0|Low|Prototype|M
S00-01|Story|STORY: Add README with project goals and target platform|F00-01|0|M0 Bootstrap|Repo|P0|Low|Prototype|S
S00-02|Story|STORY: Add source-available license|F00-01|0|M0 Bootstrap|Repo|P0|Low|Prototype|S
S00-03|Story|STORY: Add CONTRIBUTING, SECURITY, CODE_OF_CONDUCT|F00-01|0|M0 Bootstrap|Repo|P0|Low|Prototype|S
S00-04|Story|STORY: Add Unity .gitignore and .gitattributes with LFS|F00-01|0|M0 Bootstrap|Repo|P0|Medium|Prototype|S
S00-05|Story|STORY: Add docs/adr folder and first architecture decision records|F00-01|0|M0 Bootstrap|Repo|P1|Low|Prototype|S
F00-02|Feature|FEATURE: Configure GitHub Project|EPIC-00|0|M0 Bootstrap|Repo|P0|Medium|Prototype|M
S00-06|Story|STORY: Create Roadmap project|F00-02|0|M0 Bootstrap|Repo|P0|Medium|Prototype|S
S00-07|Story|STORY: Add fields: Phase, Priority, Area, Risk, Target Release, Effort|F00-02|0|M0 Bootstrap|Repo|P0|Medium|Prototype|S
S00-08|Story|STORY: Add milestones M0-M6|F00-02|0|M0 Bootstrap|Repo|P0|Low|Prototype|S
S00-09|Story|STORY: Add labels for area/type/priority|F00-02|0|M0 Bootstrap|Repo|P0|Low|Prototype|S
S00-10|Story|STORY: Add issue templates|F00-02|0|M0 Bootstrap|Repo|P0|Low|Prototype|S
F00-03|Feature|FEATURE: Configure trunk-based development|EPIC-00|0|M0 Bootstrap|Repo|P0|Medium|Prototype|M
S00-11|Story|STORY: Protect main|F00-03|0|M0 Bootstrap|Repo|P0|Medium|Prototype|S
S00-12|Story|STORY: Document no develop branch policy|F00-03|0|M0 Bootstrap|Repo|P0|Low|Prototype|S
S00-13|Story|STORY: Document short-lived feature branch policy|F00-03|0|M0 Bootstrap|Repo|P0|Low|Prototype|S
S00-14|Story|STORY: Document release-from-main-only policy|F00-03|0|M0 Bootstrap|Repo|P0|Medium|Prototype|S
S00-15|Story|STORY: Add CI check that release tags are on main|F00-03|0|M0 Bootstrap|CI/CD|P0|Medium|Prototype|S
F00-04|Feature|FEATURE: Configure CI|EPIC-00|0|M0 Bootstrap|CI/CD|P0|High|Prototype|L
